code3,typeName,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2030,2050
AFG,Burning - Savanna Emissions (CO2eq) in Gigagrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6645,38.6645,38.6645,38.6645,38.6645,38.6645,36.7736,29.2241,60.5881,43.6109,21.5191,3.1969,73.7219,207.3717,53.5323,16.7102,5.9077,15.85,9.4106,4.4999,107.3105,1.599,18.0577,17.821,7.9208,38.6645,38.6645
AFG,Agriculture total Emissions (CO2eq) in Gigagrams,9255.678,9331.0188,9620.3601,9791.5075,10017.31,10362.3558,10472.1238,10819.9095,10750.7202,10844.6971,10747.4098,8730.0311,9317.5417,9992.0685,10710.6789,10954.3616,10711.5054,10643.1595,10379.3957,10390.6694,10359.43,10375.0194,9775.563,8843.3805,7947.3584,6565.573,7103.4085,7453.2001,7362.7127,7342.7099,7631.0272,7631.4427,7702.7416,7699.1389,8080.4473,8969.3498,9849.6135,10579.1589,11506.1305,9883.8943,8373.4948,10408.5249,10835.4511,10622.0046,10898.1215,10993.4743,10937.1688,12016.8651,12551.7967,14332.6195,14406.7981,15447.6157,14625.3884,14794.1148,17032.6996,23051.7559
AFG,Agricultural Soils Emissions (CO2eq) in Gigagrams,3097.8213,3063.8992,3116.2194,3181.7806,3257.1703,3337.1441,3429.1723,3587.4832,3571.3671,3587.8557,3543.2412,2742.4466,3049.0863,3321.9002,3604.8006,3709.847,3633.5934,3575.7678,3464.879,3500.9896,3459.5396,3510.1414,3290.2729,3114.5526,2869.0922,2425.6125,2642.1795,2754.0561,2737.6241,2690.1125,2774.4388,2725.0386,2756.4502,2572.451,2686.6123,2909.5174,3220.9951,3496.0464,3778.7036,3260.0532,2858.5385,3346.5688,3450.7858,3442.919,3616.5628,3602.6301,3420.7696,3657.9937,4016.4874,4412.7895,4562.6222,5720.3588,4982.0197,4941.5255,5933.837,8364.6663
ALB,Enteric Fermentation Emissions (CO2eq) in Gigagrams,1071.7707,1081.3015,1075.2882,1080.6106,1154.3238,1149.4014,1160.1534,1074.2876,1053.8619,1043.6685,1008.546,981.9926,1003.3958,1043.6748,1057.0833,1122.5823,1170.5011,1250.2529,1304.9064,1345.3304,1373.883,1383.1629,1408.848,1409.52,1354.395,1413.4785,1521.4038,1605.1098,1639.6548,1568.3063,1612.2467,1613.5927,1720.0596,2199.1242,2246.6651,2104.0656,1958.1051,1854.8271,1906.1721,1934.3751,1887.0873,1834.0266,1853.7876,1778.6003,1765.2831,1735.4526,1631.0301,1525.8411,1447.1741,1453.9686,1439.2413,1466.9199,1464.106,1478.9222,1821.1599,1804.8746
ALB,Manure Management Emissions (CO2eq) in Gigagrams,232.4783,233.7111,231.5439,235.8269,257.5974,258.6984,264.0328,246.355,248.8739,247.8487,242.0608,238.5356,245.4335,258.4444,263.6207,281.383,299.441,323.7703,340.2371,349.253,360.4601,365.9153,369.5524,370.4638,355.5923,372.5022,400.6077,418.1896,424.5527,413.31,409.5825,396.5128,421.151,543.2866,560.124,555.1292,513.0061,488.7469,499.3273,515.3802,507.4514,500.4635,508.6706,498.7675,495.7648,484.6095,457.7652,432.7252,416.3423,419.859,420.1411,424.2997,416.4401,425.706,495.2193,500.6454
ALB,Rice Cultivation Emissions (CO2eq) in Gigagrams,17.446,20.039,22.7615,20.8093,23.126,22.6145,23.7082,24.4255,25.6721,29.5411,20.039,23.52,28.224,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,23.52,21.168,21.168,17.64,17.64,19.404,18.816,15.876,17.64,4.704,1.4112,0.8232,0,0,,,,,,,,,,,,,,,,,,,0,,
ALB,Synthetic Fertilizers Emissions (CO2eq) in Gigagrams,20.5709,12.9093,12.9093,12.9093,12.9093,19.3639,45.1825,122.6382,103.2743,145.2295,200.0939,210.4214,233.0126,234.3035,232.3671,292.3953,322.7321,464.0888,457.6342,444.0794,467.9616,456.9887,471.1889,484.0982,484.0982,484.0982,426.6519,447.3068,515.726,474.4162,143.9385,95.5287,98.2397,81.8449,64.5464,35.5005,27.1095,116.1836,37.4369,78.1012,69.0647,245.1861,239.8223,230.9794,237.9569,193.7297,199.9519,181.7176,216.237,217.7926,236.937,224.3957,197.1764,197.17,286.0995,305.4059
ALB,Manure applied to Soils Emissions (CO2eq) in Gigagrams,139.4218,140.0838,138.5547,139.7075,150.5905,150.5307,152.5463,142.4959,141.9839,142.1198,138.4229,135.6535,139.4083,146.7016,150.2235,161.1469,169.6249,182.4615,191.3272,196.4228,201.1683,203.7641,206.6753,206.6679,199.4144,208.5607,225.8892,235.2057,240.079,230.0364,227.1599,219.1931,232.5694,304.5034,312.5913,302.3321,283.2057,269.4243,275.6261,283.1663,278.0687,275.1997,278.9072,273.8065,272.717,266.4979,257.0048,247.9572,238.5404,240.4442,242.159,244.8312,241.3826,248.1599,285.9107,295.7413
ALB,Manure left on Pasture Emissions (CO2eq) in Gigagrams,378.0223,385.3639,380.2256,379.8872,404.1997,397.2295,397.1913,353.9195,333.7226,327.2914,307.5305,294.9535,296.0161,298.0991,300.3341,309.9362,314.63,324.6782,336.0444,359.1789,365.8007,371.0509,381.55,385.3039,373.6141,388.6181,414.8249,440.8244,457.1774,448.397,460.9869,467.9878,498.8275,638.7284,639.5859,541.6625,507.1764,481.086,500.4903,500.8157,484.2291,461.7251,475.5247,449.0939,444.1947,444.0838,424.8341,403.3246,383.6333,386.6063,378.6068,392.0471,401.4254,410.1784,503.1837,494.5598
ALB,Crop Residues Emissions (CO2eq) in Gigagrams,27.3701,28.8556,25.2907,30.9974,29.0386,36.3998,39.9185,42.369,44.275,44.2947,44.0941,46.8055,49.805,51.1096,51.1109,65.1503,68.0469,69.0556,70.891,68.225,69.0456,72.5331,78.353,77.0911,74.8618,77.0728,76.361,76.5923,77.7866,69.2986,36.8052,34.5154,51.536,49.6296,48.9361,38.8354,45.9843,46.3708,38.0278,42.7127,37.8578,38.7046,36.0737,36.3867,37.2366,36.0188,35.2729,43.4222,44.3038,46.2658,46.9093,46.7761,46.8444,46.6261,43.0039,44.0154
