"CountryCode","Country","ItemCode","Item","ElementGroup","ElementCode","Element","Year","Unit","Value","Flag"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1996","%","1.720","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1997","%","1.560","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1998","%","1.420","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1999","%","1.470","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2000","%","1.530","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2001","%","1.450","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2002","%","1.490","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2003","%","1.420","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2004","%","1.700","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2005","%","2.090","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2006","%","2.080","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2007","%","2.270","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2008","%","2.200","Fc"
"212","Syrian Arab Republic","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2009","%","1.950","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1990","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1991","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1992","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1993","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1994","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1995","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1996","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1997","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1998","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1999","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2000","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2001","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2002","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2003","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2004","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2005","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2006","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2007","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2008","%","0.000","Fc"
"208","Tajikistan","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","2009","%","0.000","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1990","%","7.710","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1991","%","8.650","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1992","%","10.240","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1993","%","14.260","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1994","%","19.980","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1995","%","20.420","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1996","%","21.170","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1997","%","21.070","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1998","%","20.490","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","1999","%","21.000","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2000","%","20.630","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2001","%","22.020","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2002","%","20.120","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2003","%","19.890","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2004","%","18.860","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2005","%","19.490","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2006","%","18.870","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2007","%","17.360","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2008","%","17.500","Fc"
"208","Tajikistan","6741","Energy used in agriculture and forestry","7204","72040","Agriculture and forestry energy use as a % of total Energy use","2009","%","17.870","Fc"
"216","Thailand","6740","Bioenergy production","7204","72041","Bioenergy production as a % of total renewable energy production","1971","%","97.740","Fc"
