code3,typeName,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BDI,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,250,0,0,0,0,0,129000,131895,120880,141940,152320,153550,148180,151680,169772,182952,176272,176552,182912,199812,210621,186911,190154,191443,191622,223946,184135,871382,389706,350582,428680,519123,502568,527449,568084,553999,574557,531637,485767,438706,396541,375727,281592,94239,84064,101288,73363,72647,72493,292764,408036
GRC,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,17690,7090,23420,21820,21590,21290,1480,6610,5900,580,510,450,410,380,360,340,320,300,280,260,0,0,0,6,6,16,6,1,1,94,222,250,178,174,164,125,97,301,270,224,331,91,92,67,62,51,56,51,91,113,112,101
HUN,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,3270,3270,3270,3360,3490,220,210,170,150,140,50,0,120,0,763,744,728,607,430,435,381,329,3887,4359,5767,4733,3993,5016,4471,2348,3083,2669,1242,800,518,953,3517,3395,2749,3519,3119,3386,1614,1537,1438,1238,1087,1220,1267,1443,2904
#N/A,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,430,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,2,2,4,8,9,8,5,40,32,30,24,25,27,25,28,27,28,0
MWI,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,300,140,190,250,250,250,100,80,30350,60,1050,310,460,420,70,240,440,440,450,440,450,4,4,53,50,50,44,60,37,39,34,28,34,33,25,48,59,94,101,113,97,106,130,171,222,277,326,361,426,407
NAM,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,230,1330,840,900,900,1000,3410,3420,3970,9020,12930,35760,40580,55620,74520,75170,75112,77552,76916,76966,75726,76591,3704,532,204,15,133,65,13,12,2,1902,701,2308,2297,1302,1293,1314,1226,1202,1128,985,921,1017,1073,1098,1143,1253,1277,1348
ZAF,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,450,740,290,460,850,790,940,1380,1360,2180,2395,3840,7280,24250,24900,28430,34520,38560,38110,33220,26151,24908,17137,14783,11206,9241,9094,1514,488,290,244,188,193,168,123,275,288,269,268,510,474,453,384,380,429,420,423,424,450,427
ETH,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28600,31000,31000,54350,55200,44640,46300,49200,91410,105700,655350,887670,1623870,2567998,1293266,1264915,1281917,1476134,1749309,1534548,1487663,1513307,1474919,1345928,251241,313129,251828,226436,100987,96270,84401,70680,71055,66410,58997,61240,62677,63150,65461,74026,59858,63878,62889,68848,70610,74968,77122,86870,85839,83894
COG,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,330,0,0,0,0,0,0,110,0,0,0,0,6,6,6,6,6,6,6,0,0,0,2,4,7,11,32,177,221,21147,17143,27302,27579,24237,28002,28958,28144,24438,20608,19735,19925,20544,20679,12839,12119,11753,14500,14781,13231
ZMB,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,13000,9000,750,750,750,4000,750,750,0,0,1000,1210,1200,1200,1200,0,0,0,0,1,1,1,1,1990,1574,16,20,40,63,77,87,98,62,92,100,124,151,204,196,195,206,228,240,243,232,316,344,246
NGA,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40100,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,13,14,16,23,76,100,592,1939,4754,3059,3999,4441,5742,6084,24572,24428,23890,22128,13253,13904,14169,15609,15642,17141,18021,31176,90947,167989,229261
IRQ,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,2700,0,0,0,0,0,0,0,0,560,31000,31098,66589,103766,103721,101724,401503,400745,410818,508468,507986,1133805,1321853,1343824,771077,749834,718719,714730,707338,675030,642886,526179,530511,422512,368580,311890,262299,1450905,2309245,1903519,1785212,1683579,1428308,746206,401466,369954,264094,315998
SYR,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,0,0,0,0,0,0,0,0,0,500,502,504,504,526,529,2599,534,20,881,397,2148,3037,4408,5404,7087,7994,8609,8653,8126,6695,5871,4869,18913,20819,21434,16401,12338,13690,15211,17914,18452,19931,729022,2468332,3887491,4873243,5524333
BGR,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,320,340,340,340,300,300,0,0,290,0,329,274,257,227,183,190,160,138,898,869,1922,2735,2981,3155,4689,4156,3246,3048,3122,2653,2404,2121,2841,2567,2231,4254,3438,3311,3040,2745,2559,2327,2147,1880,1648,1269,794
#N/A,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,150,140,130,130,120,120,0,0,4200,0,270,214,177,157,91,91,72,42,99,98,1745,45823,90081,58253,54976,86120,103967,106654,115292,172509,146748,144231,327587,296632,237023,189989,174027,165643,185935,195626,183289,161671,158908,48725,45733,38628,36898
CUB,Refugees (incl. refugee-like status),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500,16700,54500,17070,0,1600,0,0,0,0,3560,1693,2703,653,924,1356,1876,686,836,3874,7682,13523,17615,21273,22406,23316,24854,25462,24913,23559,23328,20084,18959,18043,16093,15675,19000,33580,7503,7938,7549,7477,7856,7731,7460,7502,6833,5925
