code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BGD,365,488,350,89,74,58,47,43,61,41,70,109,161,430,809,687,581
BGR,49,20,11,10,,2,1,0,0,0,1,0,,,0,,*
BHR,3,2,1,3,,8,3,4,1,2,9,8,14,8,19,15,10
BIH,6,8,6,2,,1,1,0,0,0,0,1,1,0,0,3,*
BLR,26,20,9,5,,2,,,,,0,0,,3,3,3,*
BOL,7,9,3,1,,,,,0,,0,,,,,,
BRA,16,27,35,16,1,4,2,0,1,0,5,8,9,9,21,15,18
CHL,27,38,17,4,,,1,2,0,0,0,,0,,1,3,*
CHN,1004,1021,1086,553,1009,463,404,541,631,539,534,797,997,1401,2485,2178,2981
CMR,3,6,4,1,,1,1,3,5,7,6,8,5,5,18,19,25
COD,1,14,10,2,,2,,1,6,3,4,11,10,9,34,37,43
COL,193,132,48,16,,14,10,6,10,20,22,38,38,37,71,49,83
CUB,5,4,2,2,,,1,0,2,0,,1,1,0,2,3,*
CYP,3,9,15,2,,,,,,,,0,,0,0,3,*
CZE,3,4,1,2,,,,,0,0,3,1,0,,3,4,*
DEU,2,4,,,,4,,0,8,0,0,1,0,4,3,5,*
DZA,28,22,12,9,,3,1,4,2,3,0,3,3,9,7,7,11
ECU,13,19,14,5,,1,,,,,1,1,0,,2,0,0
EGY,102,84,65,59,16,39,20,20,44,76,256,359,398,706,687,287,259
ERI,8,12,14,3,,9,1,9,3,8,21,4,16,31,28,28,27
ESP,1,2,2,,,1,1,0,0,,,3,3,0,,1,*
EST,3,4,1,1,,,,,,,,1,3,1,3,4,*
ETH,29,24,22,18,,11,12,19,31,13,19,31,54,104,163,158,217
FIN,1,1,,,,,,,,,,,,,,,
FJI,331,407,207,62,11,19,20,17,36,161,197,196,233,403,657,316,378
FRA,3,4,4,,,2,,,1,5,0,0,0,1,1,4,*
GBR,5,4,5,1,,3,2,1,0,6,6,9,26,10,9,27,13
GEO,28,17,3,1,,1,2,2,0,2,2,9,7,23,22,10,17
GHA,32,47,33,14,2,7,6,11,13,15,16,13,23,25,55,51,79
GIN,3,2,3,,,3,,1,2,2,0,2,1,7,10,6,10
GRC,2,5,,4,,6,,,,,0,1,1,3,3,8,12
GUY,1,1,,1,,,,,0,,,,,,,,
,8,3,7,5,3,3,2,1,0,2,0,2,8,13,23,59,57
HRV,14,19,7,1,,1,7,1,0,,,0,0,,0,0,*
HUN,7,4,9,4,,1,,,,3,0,0,0,,0,3,*
IDN,2646,2466,1136,99,15,136,55,53,81,63,91,75,90,150,274,268,435
IND,874,910,536,342,54,121,94,67,200,108,228,443,769,839,1351,944,1322
IRL,3,2,,,,1,,,,,1,0,3,9,66,15,13
IRN,369,235,100,60,110,36,30,35,74,152,318,230,684,1154,1428,1549,2904
IRQ,358,885,159,83,418,57,87,69,87,94,196,245,575,584,840,1317,1783
ISR,12,17,40,31,2,10,10,1,8,5,7,3,6,6,14,24,19
ITA,12,9,3,5,,1,,0,1,1,2,2,5,3,16,17,9
JOR,47,31,20,16,4,5,2,5,13,12,23,37,64,97,107,91,89
JPN,1,5,,,,2,,2,2,0,4,6,2,7,10,5,*
KAZ,6,9,10,6,,,,,,,4,0,,,3,4,5
KEN,11,32,17,19,7,4,3,1,19,8,12,25,40,49,67,64,66
