code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CUB,1,,,,,,,,1,1,0,,,,,,
ERI,848,899,126,124,123,54,84,82,112,304,461,600,444,316,233,396,509
ETH,5810,5815,1134,2429,3510,2632,5212,3478,6554,14495,14056,13263,9422,7685,9228,9244,8173
IRQ,6,5,3,1,,,,1,0,,,,,,2,3,0
ISR,1,,,,,,,,,,,,,,,,
RWA,582,846,254,272,270,200,138,79,110,162,281,362,202,499,618,796,910
SDN,775,883,21,32,40,65,123,955,439,908,6470,10772,2590,4055,6250,6847,6443
SLE,2,4,,2,3,2,3,4,0,,,,,1,0,,*
SOM,110,3398,,45,4522,12454,11799,710,694,178,1435,1745,1223,2120,2621,993,2114
TZA,4,19,1,2,3,62,70,62,2,9,24,21,11,28,23,23,25
UGA,61,3,244,370,389,526,526,202,170,181,197,283,401,519,808,1270,1339
,38,27,,,,,,,,,,,,,,,
AFG,87,98,104,109,128,117,201,344,425,318,232,130,150,147,133,118,72
RUS,167,372,516,474,308,304,170,161,120,40,15,0,4,1,1,,
TJK,132,,,,,,,,,0,,,,3,4,,*
AFG,6,1,,,,,,,,,,,,,,,
BDI,1,1,1,1,,,,,,,,,,,,,
CHN,13,1,3,,3,1,,1,1,4,0,,,0,,,
,1,,1,,,,,,,,,,,0,,,
DZA,1,,,,,,,,,,,,,,,,
IRQ,7,1,1,,,,,,0,,,,,1,1,1,*
LBR,1,,,4,,,,1,0,0,,,,,,,
LKA,4,6,,,,,2,0,,0,,7,5,1,1,1,*
PAK,10,5,6,,,,,,,,7,1,2,6,6,6,*
PRK,2,,,,,,,3,0,,,,,,,,
PSE,4,,2,1,,,1,0,,0,,,,,,,
SOM,1,2,,1,,,,0,1,0,,,,,0,0,0
VNM,116,1029,65,34,310,65,124,232,54,6,2,2,1,1,14,1,157
CHN,1,3,11,20,81,172,114,95,100,21,15,12,2,43,277,469,765
CMR,1,4,4,1,,3,4,5,7,10,13,17,35,91,152,106,90
COD,16,18,12,13,18,21,32,34,35,16,12,14,6,15,15,17,19
ETH,2,2,4,16,15,19,37,31,22,2,5,9,17,66,42,45,122
IRN,1,5,2,9,6,11,9,8,14,12,4,2,4,10,17,20,39
IRQ,1,3,2,,,,1,5,4,3,1,4,5,5,32,65,46
KEN,1,,,,1,3,8,9,11,5,5,8,13,26,14,16,25
LBR,1,1,2,6,11,13,13,26,39,9,10,20,35,64,90,95,114
MMR,21,17,17,35,80,113,108,118,121,35,46,74,38,8,26,17,10
PAK,1,6,2,10,8,2,3,4,48,71,134,437,386,467,451,1009,977
AFG,7,29,35,36,37,47,44,21,1796,1800,1794,0,,,,,
IRQ,15,4,62,60,21,25,284,345,419,627,794,759,420,281,247,282,265
SOM,16,32,59,59,59,65,32,30,34,54,149,160,192,519,557,373,296
,18,6,6,,,,,,,,,,,8,0,0,0
AFG,5,2,,,,,2,6,6,6,6,14,16,14,19,14,7
DZA,61,68,5,10,,,1,2,2,2,1,0,1,1,0,0,*
ETH,143,119,,2,1,,1,9,1,2,8,6,13,25,123,288,355
IRQ,2570,2204,128,487,614,1396,2429,224,183,124,647,739,847,982,5418,9929,11966
JOR,25,25,1,3,1,2,2,14,17,22,13,17,13,34,43,32,33
SDN,2435,855,23,16,34,20,88,242,206,210,535,492,224,574,1087,1409,946
SLE,44,9,,,,2,2,2,2,2,0,,,,,,
SOM,99,,1,2,4,13,3,8,4,10,9,7,8,11,14,6,*
,641,92,,,3,1,,,,,,,,,,,
COD,160,5,3,13,3,3,49,119,68,16,0,,2,4,11,11,11
IRQ,19,7,2,,,,453,940,796,501,530,515,547,533,533,524,547
SDN,17,1,,1,19,19,671,646,1585,537,318,315,302,686,1415,1400,1799
,12,2,,,,,,,,,,,,,,,
AFG,1,13,13,3,,,,,3,3,0,6,1,23,88,108,111
IRQ,20,17,,,,,7,,0,,,1,1,1,1,1,
PAK,1,,,2,43,117,116,175,384,333,134,192,217,1443,832,454,438
SDN,1,,,,,,,,,,,,,,,0,*
AFG,4,40,27,16,4,4,,,1,3,2,19,16,24,46,15,15
ARM,1,,,,,,,0,0,1,2,6,0,0,0,0,0
DZA,1,,,,,,,,1,0,,,,,,,
GEO,1,,3,1,1,1,1,1,2,26,42,4,16,14,33,6,6
IND,2,5,1,21,,,,3,0,2,0,,,7,0,,
PAK,2,,,11,2,1,3,0,5,7,0,,1,1,1,0,0
RUS,51,39,163,28,17,31,25,15,72,4,15,25,18,14,13,14,14
UKR,1,,1,1,,,,1,0,1,1,0,0,0,21,13,13
VNM,1,,,1,,,,1,0,0,0,,2,3,6,0,0
,1,,2,1,,,1,1,0,4,0,2,10,1,2,0,0
RUS,2,,8,,,1,,0,4,3,5,13,4,3,5,10,14
AFG,14,7,7,5,4,5,2,0,2,7,8,0,2,13,5,9,8
AGO,4,,,1,1,1,,,,,,,0,,0,0,0
ARM,1,1,5,6,11,22,15,16,8,10,23,12,7,0,1,3,*
BFA,4,,,1,,,,,,,,,,1,1,,
CMR,1,,,,,,1,0,,,,,0,0,1,,*
COD,1,,,,,2,,,,,1,0,1,1,1,,
DZA,1,,,,,,,,,,,,,,,,
ERI,1,3,2,1,1,,,,,,,,,1,0,0,
IRN,2,3,3,7,6,4,,,3,0,,1,1,1,0,0,0
IRQ,32,20,9,11,10,2,,2,0,6,4,2,1,2,1,4,*
KGZ,8,1,,,4,,1,0,,7,2,1,0,5,9,8,5
LBR,1,,,,,1,1,1,0,,,,,,0,0,0
MLI,1,,,,,,,,,,,,,1,1,0,
NGA,5,1,,,,2,2,1,0,1,1,1,2,2,2,2,*
PAK,2,2,1,4,3,2,2,2,2,2,0,1,4,1,1,1,*
RUS,86,55,35,36,42,6,3,12,2,4,7,2,1,3,3,2,*
SDN,19,5,7,18,15,14,10,6,0,1,1,0,1,1,0,0,*
SLE,1,,,2,1,1,,1,0,,,,,1,1,1,*
SOM,8,2,1,,,,,,1,0,0,,,,0,,
SYR,2,1,3,12,17,17,2,3,2,2,4,10,33,27,22,8,10
,4,,,,,,,,,,,,,,0,0,0
COL,1,4,10,9,8,11,23,3,0,18,30,51,37,68,79,68,73
CUB,6,,3,6,9,23,2,3,0,6,6,49,17,116,197,116,120
IRN,2,,,1,,1,1,0,,0,1,0,0,1,3,1,*
ITA,1,,,,,,,,,,0,,,,,,
SLE,1,,,1,1,,,,,,0,2,,1,1,1,*
IRQ,1,1,,,,,,1,0,1,2,5,5,8,8,0,*
CMR,5,7,7,11,11,15,16,15,17,17,17,18,0,1,1,2,
COD,59,72,72,76,63,90,92,114,123,133,133,139,76,109,105,40,36
COG,21,22,22,21,16,22,24,29,29,29,28,28,0,,0,0,0
LBR,39,58,58,65,15,7,8,8,12,12,12,12,6,6,0,,
MRT,97,110,110,103,78,118,129,128,132,132,132,132,0,,0,0,0
NGA,13,12,12,11,25,27,27,27,27,27,27,27,0,2,2,1,
RWA,26,27,27,23,20,20,21,21,21,21,21,20,1,1,3,0,0
SLE,363,379,379,364,364,364,364,364,364,0,,,,1,1,0,
TCD,12,13,13,15,13,11,12,11,14,15,15,15,0,,0,0,0
TGO,13,16,16,16,14,55,52,49,50,50,50,50,1,1,1,0,0
,62,88,,,,,,,,,,,,,,,
DZA,1,,,,,,,0,,9,11,7,0,,1,7,*
GMB,1,1,,,,,,3,10,19,16,2,0,70,17,10,8
IRQ,1,7,2,1,6,,1,0,1,13,15,4,1,0,0,10,22
LBY,2,,,1,,,3,0,0,8,9,18,33,61,68,201,227
NGA,3,1,,1,2,2,22,25,42,356,271,444,47,50,13,12,10
SDN,1,41,,4,11,78,11,23,9,143,104,103,6,5,3,9,19
SOM,1,,,2,21,,58,262,196,234,118,137,198,370,7,17,145
TUR,3,,,,3,,,0,1,2,2,2,0,0,0,0,*
AFG,1,1,1,1,,,,,,1,1,1,1,1,1,1,
AGO,34,56,68,74,73,12,9,11,11,6,6,6,5,5,5,5,0
BDI,611,899,1194,1538,1053,642,680,817,963,736,883,1489,2110,3004,3722,4835,4543
CHN,1,1,1,1,,,,,,,,,,,,,
CMR,1,4,4,4,,,,,,,,,,,,,
COD,1238,3322,4388,5995,2748,2765,3083,2809,2613,2337,2957,4516,4088,5113,6137,5476,5095
COG,1,4,9,15,11,9,20,12,14,15,14,13,15,19,18,10,15
COM,1,1,1,1,,,,,,,,,,,,,
CUB,13,15,15,15,,,3,3,3,2,2,2,2,2,2,2,
ERI,2,8,8,8,2,2,1,2,1,2,2,3,3,2,2,2,*
ETH,18,25,33,33,29,1,,2,2,0,94,774,16,21,25,21,12
IRQ,1,1,1,1,,,,,,,,,,,,,
KEN,4,5,5,4,,,,,1,2,2,2,0,,,,*
LBR,7,8,23,24,9,10,11,11,10,10,15,15,10,10,10,10,
LKA,1,2,2,2,,,,,,,,,,,,,
RWA,199,638,820,1084,871,479,403,381,384,350,397,607,779,858,1016,1418,1450
SDN,26,30,45,44,11,3,5,4,8,10,18,19,9,9,16,15,9
SLE,13,14,22,23,5,6,6,6,6,6,6,6,6,6,6,6,*
SOM,93,259,301,307,58,70,76,85,419,675,1486,2109,1134,1596,2322,2969,1817
SWZ,2,,,,,,,,,,,,,,,,
TZA,1,2,2,2,,,,,,,,,,,,,
UGA,9,15,26,30,7,5,5,5,6,5,8,16,11,14,22,27,13
ZWE,1,2,3,3,11,10,10,9,10,10,10,10,,,,,
COD,7,,1,2,5,14,10,8,7,39,57,46,180,83,41,14,7
COG,3,,,1,9,,7,1,6,0,1,2,9,11,3,3,*
ESH,2,,,,,,,1,0,,1,0,,,0,0,0
GIN,2,,,1,2,,,0,0,39,50,1,3,3,5,30,29
LBR,9,4,3,20,24,18,25,5,5,2,21,1,9,5,0,8,7
LBY,1,,,,,,,,,,,1,2,0,,2,*
SLE,20,22,5,14,14,,16,2,1,1,0,,,2,2,3,7
AFG,7,45,13,6,27,33,30,122,465,296,76,95,115,138,212,336,454
CHN,1,2,3,3,11,5,18,18,38,56,54,19,3,9,19,7,19
IDN,1,82,1170,1799,446,598,529,167,32,6,6,11,0,12,29,37,179
IRQ,9,1,,5,14,17,52,419,203,99,188,221,236,264,295,653,739
LKA,1,1,5,146,374,438,411,1047,957,837,1715,2150,1910,1906,2326,1528,1090
MMR,5,106,298,6990,8857,8267,6754,3832,6730,8261,8553,7348,7764,38282,45743,53598,48352
SOM,1,,2,11,22,35,20,172,282,166,195,224,265,193,246,563,781
BDI,256,357,175,344,319,124,145,136,121,142,136,89,102,99,58,62,149
CMR,9,5,2,3,3,,,7,6,11,13,4,6,6,3,3,*
COD,646,1211,533,983,1160,629,655,868,981,903,1001,651,781,840,608,888,1334
COG,84,104,9,7,2,2,3,8,5,6,6,3,1,1,1,2,*
ETH,2,2,2,3,3,1,3,4,4,5,5,0,,1,3,2,*
KEN,5,,,,,,1,5,7,9,9,2,4,4,3,3,*
LBR,40,47,6,23,29,,,5,5,7,6,3,3,3,1,1,*
MWI,1,,,,,,,,,,0,1,1,1,0,,*
NGA,5,,,,,,,,,2,2,0,,3,1,8,11
RWA,44,54,20,612,502,306,296,116,113,103,112,85,80,67,54,40,46
SDN,8,10,7,2,5,4,9,7,10,8,7,2,2,2,1,1,5
SLE,14,11,6,5,5,1,1,19,18,19,0,,,,,,
SOM,20,8,1,2,4,1,2,4,3,5,7,7,10,10,4,6,6
TZA,4,5,2,2,,,,9,6,15,15,7,7,7,8,7,7
UGA,4,3,2,3,3,,,11,6,7,9,3,4,4,2,3,6
ZMB,1,1,,,,,,,,,1,0,,,,1,*
ZWE,1,,,,2,,,2,33,94,85,66,78,98,68,76,85
BDI,2,2,,,,,,,,,,,1,1,0,,*
,1,1,2,,,,3,3,0,1,0,,,8,83,63,41
,7,7,6,2,7,11,4,1,0,,6,98,65,32,15,15,15
CMR,49,49,1,2,2,2,,1,0,,1,1,0,6,0,0,0
COD,270,270,31,6,10,13,8,9,7,11,2,0,2,8,4,7,*
COG,23,23,3,4,5,5,1,1,0,,,,,,0,0,0
COM,3,3,,,,,,,,,,,,,,,
DZA,4,4,,,,,,,,,,,,,,,
EGY,1,1,,,,,,,,,,,,,,,
ETH,1,1,,,,,,,,,,,1,1,0,1,*
GNB,6,6,,,,,,,,,,,,,,,
KHM,1,1,,,,,,,,,,,,,,,
LBR,8,8,1,4,4,4,1,1,0,,,,,,0,0,0
RWA,11,11,,,,1,1,0,,1,1,0,4,3,0,0,0
SDN,6,6,,2,2,1,,1,0,,,3,2,0,0,0,0
SEN,1,1,,,,,,,,,,,,,,,
SLE,20,20,,4,2,2,,,,,,,,,,,
SOM,20,20,,,,,,,1,1,0,1,1,0,0,0,0
TCD,12,12,,8,7,7,2,1,15,18,5,11,12,11,0,0,0
GHA,3,3,,,,,,0,,,0,,,0,,,
NGA,2,2,,,,,,,,,0,,0,0,,,
SLE,2,4,,,,,,,,,,,,,,,
SOM,4,4,1,1,,,1,0,0,0,3,0,0,0,,,
AFG,10931,7894,5706,3712,2788,1478,1293,0,0,1604,1510,1473,1473,0,299,2360,1672
AGO,3370,6406,5671,3857,1763,549,335,0,0,65,55,49,49,0,4,14,8
ALB,175,127,92,84,42,18,17,0,0,7,9,9,9,0,21,592,79
ARG,1,1,1,1,1,1,,0,0,4,1,0,0,0,,,0
ARM,1928,1790,1270,990,747,378,337,0,0,405,577,628,628,0,81,65,80
AUT,1,,,,,,,0,,,,0,,0,,,
AZE,3635,3717,2478,1837,1427,792,540,0,0,156,135,123,123,0,65,35,59
BDI,472,569,504,485,435,289,260,0,0,431,332,192,192,0,9,25,55
BEL,1,,,,2,,,,0,0,0,0,0,,0,,
BEN,22,83,120,113,65,19,8,0,0,6,6,4,4,0,1,2,7
BFA,30,37,36,31,12,3,3,0,0,18,14,8,8,0,0,3,12
BGD,78,73,62,49,34,20,21,0,0,11,20,15,15,0,9,21,25
BGR,22,23,15,7,3,7,3,0,0,0,0,0,0,0,0,0,
BHR,3,1,1,,,,,,,,1,1,1,0,0,0,0
BHS,1,,,,,,,,,,,,,,,,
BIH,2092,1450,923,465,272,190,233,0,0,36,32,37,37,0,51,82,9
BLR,87,139,152,111,75,48,44,0,0,36,40,77,77,0,8,23,11
BRA,4,2,1,2,2,,1,0,0,1,0,1,1,,0,2,0
BRB,1,1,1,1,,,,,0,,,,0,,,,
BTN,6,6,2,2,9,7,6,0,0,8,8,6,6,0,0,0,0
,9,7,3,8,5,4,,0,0,1,1,0,0,0,3,0,*
CHL,3,2,1,1,1,2,,,,,,,0,0,0,0,
CHN,1952,2071,1707,1247,728,395,310,0,0,251,218,188,188,0,53,69,99
,85,144,213,301,218,183,43,0,0,58,140,282,282,0,12,11,24
CMR,229,391,408,333,188,88,42,0,0,37,42,26,26,0,17,16,15
COD,1069,1119,1008,1055,551,272,181,0,0,53,58,48,48,0,4,2,*
COG,1088,1195,947,395,286,160,106,0,0,111,116,88,88,0,41,38,57
COL,26,43,44,30,97,233,104,0,0,59,50,15,15,0,2,4,23
COM,5,3,,,,,,,0,,,,,,,,
,1,1,,,,,3,0,,,,,0,0,,1,
CUB,15,8,6,5,7,8,15,0,0,3,2,3,3,0,5,0,9
CZE,99,62,31,18,10,10,9,0,,,0,,,,,,
DEU,6,2,,,,,,,0,0,,0,,,0,,
DJI,5,1,1,4,8,2,,,0,,,,,,1,1,*
DNK,1,,,,,,,,,,,,0,0,0,,
DZA,617,505,266,166,97,42,49,0,0,25,15,6,6,0,11,24,361
ECU,15,6,3,2,2,4,5,0,0,4,2,0,0,0,0,0,0
EGY,30,36,32,26,34,17,15,0,0,26,34,46,46,0,37,49,92
ERI,478,554,399,298,239,179,106,0,0,335,248,167,167,0,191,2316,606
ETH,487,546,481,366,212,117,135,0,0,84,65,67,67,0,35,84,118
FRA,5,3,3,2,1,,2,0,0,0,0,,0,0,0,0,
GAB,1,2,4,4,6,1,1,0,0,1,1,1,1,0,1,4,
GBR,2,1,1,,,1,1,0,0,0,0,,0,0,0,,
GEO,463,521,438,340,232,154,131,0,0,370,183,139,139,0,64,100,231
GHA,19,18,31,26,24,17,6,0,0,14,20,23,23,0,9,18,5
GIN,1693,2318,2014,1356,643,244,140,0,0,264,208,189,189,0,33,67,76
GMB,7,10,7,6,4,7,5,0,0,14,12,10,10,0,11,32,87
GNB,46,42,42,24,12,7,4,0,0,1,3,4,4,0,1,1,6
GNQ,4,3,3,1,,,,,,,,,,,,,
HRV,189,155,81,66,38,23,42,0,0,5,2,4,4,0,0,0,
HTI,2,2,3,1,1,1,2,0,,,1,0,0,0,1,0,*
HUN,33,15,26,19,5,4,,,,,0,0,0,,0,,
IDN,60,46,26,22,9,12,18,0,0,13,10,10,10,0,1,0,0
IND,30,53,45,65,55,34,14,0,0,16,9,14,14,0,7,8,8
IRN,3861,3828,2625,1653,1044,688,1010,0,0,562,682,786,786,0,246,1692,1349
IRQ,16621,11432,7597,6611,4063,1818,1947,0,0,4893,3025,1384,1384,0,705,3227,1399
ISR,4,11,11,5,7,5,3,0,0,4,3,1,1,0,4,2,*
ITA,2,,,,,,,,0,,0,0,,,0,,
JAM,2,2,4,3,3,4,2,0,0,13,7,10,10,0,6,24,10
JOR,27,31,20,9,7,4,4,0,0,2,2,1,1,0,8,7,12
KAZ,237,279,214,144,87,60,38,0,0,25,16,13,13,0,1,14,15
KEN,33,29,26,26,11,15,9,0,0,18,13,13,13,0,0,4,6
KGZ,78,106,81,60,52,44,28,0,0,8,10,14,14,0,0,3,7
KHM,12,6,4,1,,,,0,,1,1,0,,,0,0,0
,5,2,1,,5,,,,,,0,,,0,0,,
KWT,11,10,4,5,3,2,1,0,0,2,2,3,3,0,1,12,8
,1,1,1,,,,1,,,,16,0,,,0,0,0
LBN,174,150,119,74,45,54,84,0,0,26,14,12,12,0,18,59,46
LBR,385,413,453,610,545,344,158,0,0,55,106,43,43,0,8,3,12
LBY,141,130,129,137,83,52,48,0,0,48,107,211,211,0,53,38,224
LKA,1246,1172,738,416,231,109,124,0,0,277,206,140,140,0,37,31,39
LTU,7,7,6,5,1,,2,0,,,0,,0,0,0,,
LVA,13,10,11,11,2,1,1,0,0,,,0,,0,0,,
MAR,27,22,18,16,17,15,10,0,0,14,22,14,14,0,25,55,393
MDA,30,28,26,41,23,13,9,0,0,1,5,2,2,0,2,6,8
,61,118,86,52,31,13,25,0,0,14,61,24,24,0,29,47,13
MLI,5,14,16,10,4,6,3,0,0,5,13,10,10,0,10,10,14
MMR,38,46,51,47,45,25,19,0,0,41,28,71,71,0,7,11,36
MNG,332,458,427,316,191,118,91,0,0,174,174,84,84,0,157,81,39
MOZ,1,,,,,1,2,0,,1,1,2,2,,0,,6
MRT,190,180,134,91,43,12,8,0,0,2,3,6,6,0,0,0,9
MWI,1,1,,,,1,3,0,0,4,1,0,0,0,0,0,0
MYS,2,,1,,,,1,0,0,,1,1,1,,0,0,*
NAM,1,2,1,2,,,,0,,,0,0,,,0,1,0
NER,130,236,317,217,95,32,16,0,0,11,6,9,9,0,4,0,*
NGA,279,364,400,406,274,150,118,0,0,130,154,102,102,0,105,133,123
NIC,2,4,7,7,4,2,2,,,2,0,2,2,0,,,
NLD,120,77,80,71,81,,22,0,,,,,,,,,
NPL,27,19,32,41,136,199,110,0,0,88,87,124,124,0,20,20,12
PAK,227,205,150,105,98,78,79,0,0,56,61,82,82,0,128,92,93
PER,9,8,6,2,2,2,,,0,2,0,1,1,0,0,0,*
PHL,6,3,4,5,8,1,1,0,0,0,1,1,1,0,2,0,*
POL,11,1,2,8,7,,,0,,,,,,0,0,,
PRK,11,7,8,7,5,7,8,0,0,3,4,3,3,0,5,1,*
PSE,8,12,,,,2,5,0,0,21,22,20,20,0,22,68,23
QAT,6,1,,2,1,,,,,,,,,,,,
ROU,40,39,29,23,25,13,8,0,,,0,0,0,0,0,0,
RUS,1530,1740,1239,950,666,350,219,0,0,138,228,239,239,0,65,74,64
RWA,756,973,670,347,214,106,99,0,0,27,41,22,22,0,8,5,10
SAU,1,3,4,4,,1,2,0,0,4,2,2,2,0,0,1,6
SDN,3773,3580,2684,1665,924,389,315,0,0,124,189,128,128,0,101,165,143
SEN,19,25,21,13,12,4,,0,0,2,7,8,8,0,5,15,16
SLB,1,1,1,1,,,,,,,,,,,,,
SLE,2842,3440,3026,2217,1256,580,445,0,0,193,162,163,163,0,32,47,52
SOM,5181,4851,2816,1736,1336,674,712,0,0,3767,2268,1595,1595,0,152,261,197
,6129,4269,2623,1369,921,506,790,0,0,101,97,81,81,0,121,451,48
SUR,11,5,3,2,1,3,1,0,0,4,3,4,4,0,0,3,*
SVK,557,330,154,92,75,23,10,0,,,0,0,0,,0,0,
SVN,2,1,1,,,,,,,,0,,0,0,,,
SYR,1829,1764,1256,840,549,336,362,0,0,98,133,231,231,0,2323,12718,987
TCD,94,86,63,30,18,1,,0,0,1,10,4,4,0,1,5,*
TGO,456,609,637,505,242,70,41,0,0,33,32,18,18,0,2,4,6
TJK,62,66,68,53,30,25,15,0,0,9,13,11,11,0,4,20,14
TUN,34,29,18,18,8,7,6,0,0,9,5,8,8,0,5,14,85
TUR,2569,2233,1403,943,575,325,381,0,0,110,103,95,95,0,21,43,224
TZA,10,17,13,7,7,4,5,0,0,6,5,5,5,0,9,4,10
UGA,62,83,84,58,44,37,29,0,0,51,61,74,74,0,39,59,84
UKR,373,352,271,188,94,57,52,0,0,25,15,28,28,0,103,313,64
USA,2,1,1,1,2,,,0,0,4,6,2,2,0,5,3,*
UZB,131,242,183,139,98,68,52,0,0,22,32,29,29,0,3,2,9
VNM,93,94,102,101,66,26,23,0,0,2,6,3,3,0,9,23,27
,1231,1356,939,727,547,270,207,0,0,94,107,94,94,0,1031,1650,205
,517,583,605,3400,2029,855,733,5840,9743,358,465,395,395,0,172,358,256
YEM,130,127,97,68,41,13,9,0,0,4,6,8,8,0,22,60,86
ZAF,4,7,7,5,3,2,2,0,0,9,5,2,2,0,3,10,8
ZMB,1,,,,1,2,,,,1,1,3,3,0,1,3,*
ZWE,8,10,15,9,9,8,7,0,0,7,12,17,17,0,7,5,8
BTN,1,,,206,445,1034,1343,1550,949,927,921,914,0,,0,0,0
CHN,9,11,8,1,,1,1,0,,0,,,0,,,,
LKA,1,,,,,,,,,7,0,4,1,4,10,2,0
,2337,1917,1320,345,,,,,,,,,,207,179,0,109
IRQ,1,1,3,2,2,1,1,35,38,12,13,35,11,70,221,180,354
SYR,1,1,1,1,1,1,1,1,0,,,4,4,4,6,5,6
,1,1,1,1,1,1,1,1,0,,,,,,,,
AZE,1,,,,,,,,,,,,,,,,
BGD,1,1,,,1,1,1,5,5,0,,,,,,,0
CHN,7,,40,14,4,6,4,4,4,3,4,4,4,0,,,
COD,1,2,,1,2,,,,,,,,,,,,
COG,1,4,10,23,20,12,12,12,0,,,0,0,,,,
DZA,3,4,11,11,,,1,1,1,0,,,,7,7,0,0
EGY,5,14,11,1,,,,,,1,1,1,0,,,,
ETH,2,3,,7,7,1,1,0,1,0,,,1,0,1,0,0
GIN,3,,1,,2,1,1,1,0,,,,,,,,
IRN,261,120,426,24,30,111,103,45,58,73,53,29,20,9,10,26,17
IRQ,81,55,248,170,174,177,126,127,42,21,9,2,1,0,10,9,7
JOR,1,,4,,1,1,1,4,4,0,,,,,,,
KAZ,2,,,,,,,,,,,,,,,,
LBY,8,2,,1,,,,,,,,,,,,0,
LKA,6,7,8,,,,3,3,8,0,,,,,,,
PSE,6,11,8,11,11,9,11,10,10,1,2,2,2,1,0,0,0
RUS,13,8,,,,,,,1,1,0,,,,0,0,0
RWA,3,8,8,7,14,2,,,,,,,,,0,0,0
SAU,1,1,1,1,,,,,,,,,,,,,
SDN,1,2,2,10,14,1,,,,,,,1,0,1,0,*
SLE,1,33,54,39,63,15,13,14,0,,,,,,,,
SOM,191,114,199,90,43,131,138,209,257,130,74,34,25,29,34,29,9
SYR,3,1,1,,,,,,,,,2,0,0,1,9,7
TJK,13,6,1,1,,,,,,,,,,,,1,
TUR,2,1,,,,,,,3,0,,,,,0,0,361
TZA,5,118,147,93,65,24,21,21,0,,,,4,1,,,
UGA,2,4,3,3,1,,,,,,,,,,0,0,0
UZB,1,,,,26,2,1,0,,6,6,6,6,7,0,0,0
YEM,2,3,2,3,,,,,,,,,,,,9,*
AGO,1,1,1,1,1,1,,,,,0,,,,,,
ALB,4,,,,,,,,,,,,,,,,
COL,52,25,54,67,245,405,211,473,531,537,217,475,85,288,795,1471,1688
CUB,2,2,,1,2,6,14,26,29,27,21,38,8,35,181,274,170
DZA,1,,,,,,,,,,,,,,,,
ECU,9,9,9,9,2,2,,2,2,2,3,2,2,5,5,5,7
GHA,2,2,1,2,2,2,,,,0,0,1,0,10,0,0,0
NGA,1,2,2,2,2,2,,,,1,20,23,23,33,35,36,37
NIC,14,14,14,14,1,,,,1,2,8,13,12,11,28,287,736
PER,2,2,2,2,2,2,,,,,0,4,0,0,0,2,*
SLE,5,4,4,4,4,4,,,,,0,0,,,0,0,0
,1,1,1,1,,1,,,,,,,,,,,
TGO,1,,,,,,,,,,,,,,,,
ISR,7,7,7,7,7,7,,,,,,,,,,,
ETH,2,,1,1,1,1,,,2,0,,0,,,2,2,*
IRN,1,4,5,5,6,6,7,7,9,8,26,15,6,11,8,16,16
IRQ,2,1,2,2,1,1,1,3,6,5,6,8,5,11,16,15,18
LKA,1,5,10,3,3,2,2,2,7,2,2,1,0,,0,0,*
NGA,1,1,3,1,,,,,6,2,1,0,,,2,4,5
PSE,4,7,1,4,7,9,4,1,7,7,10,8,7,8,6,5,6
RWA,4,7,7,7,1,,,,3,1,0,,,1,3,0,0
SAU,1,,,,,,,,,,1,1,0,1,1,1,0
SDN,2,2,3,3,3,1,,1,3,1,1,2,0,,1,4,*
SOM,1,1,1,1,1,1,1,1,4,1,1,1,0,3,9,17,21
,1,,,,,,,,,,,,,,,,6
COL,1,,,,1,,,0,2,2,1,1,1,0,0,1,0
CUB,1,12,3,3,2,8,2,14,2,0,2,3,3,0,0,0,10
IRQ,1,2,1,1,1,1,1,9,17,0,15,38,44,10,86,107,109
SOM,2,,4,12,11,11,11,12,1,0,0,0,,,0,0,0
,1,9,14,,,,,,,,,,,,,,
AFG,620,669,541,234,253,225,230,2072,841,646,597,397,348,209,195,291,226
AZE,7,,20,3,1,4,3,27,15,6,6,5,2,6,3,4,6
GEO,1,3,1,2,10,5,14,483,630,790,534,262,177,64,52,41,27
IRQ,7,17,4,3,2,3,3,32,22,13,8,11,7,6,8,17,30
KAZ,30,3,7,6,8,,,2,3,4,4,16,11,0,4,5,5
RWA,6,,1,4,,1,,0,0,0,2,2,0,,0,,
TJK,3,1,7,1,,,2,42,28,15,15,18,12,8,10,22,11
UKR,2,1,,,,2,6,26,9,6,6,10,7,7,2229,1097,2183
UZB,1,8,7,5,16,29,8,67,56,49,53,47,45,16,42,39,28
,14,18,6,5,13,2,4,147,56,28,2,14,13,28,11,4,*
AGO,14,1,4,7,7,,,,,,,,,0,0,0,*
BDI,577,593,622,971,983,639,564,131,94,26,27,27,27,27,40,104,128
COD,1093,1122,903,1960,2175,3644,3376,588,243,252,257,264,1446,183,178,302,320
COG,4,,,,,,,,,,,,,,,,
ERI,2,,2,2,2,1,1,2,2,0,,,1,1,1,1,8
ETH,2,,5,7,8,,1,,2,2,2,2,1,1,1,1,0
SDN,4,,,1,2,,,,0,0,,,,,,,
SOM,15,,13,31,31,4,,6,10,1,2,2,1,1,1,1,*
TCD,7,,7,,,,,,,,,,,,0,0,0
UGA,2,,19,43,36,13,3,1,1,0,1,0,,0,0,0,0
ETH,3,4,3,3,8,30,35,20,8,3,0,,5,5,5,,
IRQ,18,23,11,,,,1,41,52,46,41,31,42,42,42,23,23
SDN,43,38,6,5,48,58,69,67,70,10,8,8,8,8,9,,
SOM,52,50,15,5,30,44,59,45,12,29,19,17,19,19,19,0,0
