code3,typeName,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,"Eggs, hen, in shell Emissions (CO2eq) gigagrams",23.1572,25.4729,26.6307,27.7886,30.1043,31.8411,36.4146,32.2348,34.7357,31.8411,28.9464,28.9464,29.5254,29.5254,30.1043,30.1043,30.6832,30.6832,31.2622,31.2622,31.8411,31.8411,31.8411,31.8411,31.8411,31.8411,31.8411,31.8411,31.8411,32.4779,31.9858,31.4937,31.0016,32.1306,32.42,39.3672,39.9461,38.2093,36.4725,33.5779,34.1568,59.6297,60.7875,63.6822,70.6293,53.2615,47.4722,52.6825,50.3668,47.4722,55.5772,54.9983,54.9983,50.6406
ALB,Cereals excluding rice Emissions (CO2eq) gigagrams,57.8716,51.8116,47.9671,53.828,52.4375,62.3445,85.6104,145.2201,131.7159,164.8677,208.4213,220.0154,240.1563,241.9274,240.1418,300.575,326.7859,437.7445,435.2329,421.9739,440.469,435.3203,451.5632,460.8289,458.1966,460.2519,415.1316,430.7722,484.6521,444.3733,153.104,113.2426,134.8326,121.1224,104.9988,71.2909,72.2947,141.6368,70.5367,106.882,94.8405,232.3716,225.5885,218.45,224.8848,189.2555,193.3264,187.4754,215.0873,218.4449,234.1064,223.6929,202.5542,202.2282
ALB,"Rice, paddy Emissions (CO2eq) gigagrams",20.7985,22.5149,25.4696,23.4209,25.8943,26.2218,30.7341,41.6094,40.4404,49.8958,47.0782,52.0517,59.964,55.1557,54.9734,62.7984,66.7598,85.1506,84.345,82.4668,85.6124,84.0938,83.5754,85.2347,81.5847,81.5385,75.8648,77.8638,83.7202,80.0953,23.6431,13.9093,13.6406,,,,,,,,,,,,,,,,,,,,,
ALB,"Meat, cattle Emissions (CO2eq) gigagrams",558.9916,539.6589,512.4089,484.2384,507.0694,496.2063,497.4951,494.3651,470.7976,468.5881,465.0898,444.6524,467.6675,504.4917,521.9832,605.7583,607.5995,670.2007,712.7327,708.8661,693.0317,690.6381,707.3932,681.248,677.0132,707.0249,769.8102,770.9149,761.7089,641.8461,620.3039,553.4679,586.978,679.2226,681.248,585.505,624.1704,519.2214,530.2687,515.539,492.3397,469.5087,443.7318,403.2251,414.2724,394.0191,333.2591,333.2591,259.6107,254.0871,254.0871,258.4581,279.9911,280.8674
ALB,"Milk, whole fresh cow Emissions (CO2eq) gigagrams",456.2665,476.6146,504.0062,541.9632,593.616,613.9641,644.0949,592.8334,628.8339,622.9642,606.5292,606.5292,618.2685,649.5732,651.5298,669.1387,743.4875,806.0969,840.9234,864.7933,914.0983,919.1853,922.7071,939.142,869.8803,915.6635,989.6209,1081.1873,1116.4051,1111.3181,1186.0581,1234.1892,1314.4076,1765.1957,1839.1532,1909.5888,1690.4557,1655.2379,1690.4557,1753.0652,1725.6735,1702.195,1733.4997,1702.195,1682.6295,1643.4986,1549.5844,1408.7131,1381.3214,1389.1476,1385.2345,1399.4938,1354.1724,1358.4105
ALB,"Meat, goat Emissions (CO2eq) gigagrams",81.318,84.4816,80.4743,78.5527,93.5743,83.4505,105.5962,71.0771,64.5857,66.7885,52.9621,58.1412,58.8911,46.6348,46.1661,46.8692,46.8692,46.6348,53.8995,50.15,89.0514,96.0818,101.003,102.6434,75.1781,81.2242,85.0675,93.8086,101.4717,99.2454,97.441,88.3952,80.9899,144.5913,117.1729,83.1927,72.1785,67.2572,75.928,71.2411,57.3913,54.1339,59.5238,56.7117,56.243,56.243,59.9925,49.2126,51.0874,46.6348,41.9479,46.0234,49.514,49.064
ALB,"Milk, whole fresh goat Emissions (CO2eq) gigagrams",177.47,183.2584,181.8523,183.8911,187.4766,191.8354,178.2903,168.4946,155.3712,140.3497,130.2962,112.0173,106.393,111.3142,111.3142,110.1425,109.6738,109.2051,110.1425,139.9044,105.4556,103.1121,104.0495,107.096,127.2966,133.9052,144.357,158.3474,168.7289,168.8461,182.3444,200.8343,222.1598,257.7803,269.4976,209.7395,196.8504,179.0402,186.5392,187.4766,183.2584,163.5733,178.3371,164.5107,164.2764,164.042,145.2944,142.9509,129.8275,134.9832,135.9205,143.8278,153.6638,162.8347
ALB,"Milk, whole fresh buffalo Emissions (CO2eq) gigagrams",2.1558,1.9683,1.7808,1.6871,1.4997,2.1089,2.1089,1.9683,1.5465,0.9841,0.8436,0.5624,0.5624,0.5624,0.5436,0.5436,0.5436,0.5436,0.5249,0.5268,0.5249,0.5249,0.5343,0.5343,0.5343,0.5343,0.5343,0.5361,0.5249,0.5061,0.478,0.4686,0.3374,0.0562,0.0562,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0283,0.0283,0.0283,0.0375,0.0363,0.0321,0.0322,0.0289,0.0134,0.0136,0.0135,0.0135
ALB,"Meat, sheep Emissions (CO2eq) gigagrams",128.7576,128.1366,122.7459,119.5001,155.8525,141.6559,148.9094,113.1215,89.2158,102.0859,89.1312,104.8519,87.0708,55.46,55.46,55.46,55.46,55.3189,55.6011,85.2363,88.9054,93.139,100.1949,104.4285,122.5765,121.1653,137.1965,148.1756,145.3815,165.3358,156.5017,159.183,140.3011,234.2586,209.986,149.3046,137.1683,134.6281,142.8131,138.5795,131.4671,121.3629,130.3945,125.8787,126.4432,114.0247,134.0637,135.1926,129.5478,132.3702,115.4359,118.1265,124.964,134.6456
ALB,"Milk, whole fresh sheep Emissions (CO2eq) gigagrams",308.29,319.3537,321.9503,326.7484,318.9304,320.3416,292.9644,276.1147,268.9176,258.1925,249.8947,223.2513,241.0323,272.6431,272.6431,272.6431,272.6431,272.9254,273.7721,268.6918,270.9497,273.7721,275.1833,276.5945,249.4148,258.7287,266.9701,282.2393,303.9435,299.3148,322.1761,347.7188,399.2839,460.05,489.9674,410.0937,387.2323,393.7238,405.0134,408.6825,406.4246,399.0863,406.7068,380.4585,370.2979,402.4732,388.9257,372.8381,369.4512,377.3539,380.7408,392.3888,398.7347,400.4233
