code3,typeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ATG,Other Herbicides,,,,,,,,,,,,,,,,,,,,,2.66,4.76,3.12,4.46,
ATG,Inorganics,,,,,,,,,,,,,,,,,,,,,0.27,0.46,0.49,0.06,
ATG,Dithiocarbamates,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.98,1.39,
ATG,Benzimidazoles,,,,,,,,,,,,,,,,,,,,,0.08,0.12,0.06,0.06,
ATG,"Triazoles, Diazoles",,,,,,,,,,,,,,,,,,,,,,,,0,
ATG,"Diazines, Morpholines",,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,
ATG,Other Fungicides,,,,,,,,,,,,,,,,,,,,,0.02,0.92,0.89,0.81,
ATG,Dithiocarbamates-SeedTrF,,,,,,,,,,,,,,,,,,,,,,,0.98,1.39,
ATG,Others-SeedTreatFung,,,,,,,,,,,,,,,,,,,,,,,0,0.35,
ATG,Carbamates-insect-SdTr,,,,,,,,,,,,,,,,,,,,,,,0.07,0.17,
ATG,Pyrethroids-SeedTr Ins,,,,,,,,,,,,,,,,,,,,,,,0,0.02,
ATG,Others-SeedTreat Ins,,,,,,,,,,,,,,,,,,,,,,,0.84,1.19,
ATG,Plant Growth Regulators,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,
ATG,Anticoagulants,,,,,,,,,,,,,,,,,,,,,0.13,0,0,0,
ATG,Pesticides,,,,,,,,,,,,,,,,,,,,,7.65,39.26,31.5,28.3,
ATG,Insecticides,,,,,,,,,,,,,,,,,,,,,3.28,18.92,22.51,7.43,
ATG,Herbicides,,,,,,,,,,,,,,,,,,,,,3.7,18.65,4.53,15.39,
ATG,Fungicides&Bactericides,,,,,,,,,,,,,,,,,,,,,0.54,1.69,2.56,2.35,
ATG,Seed Treatm Fungicides,,,,,,,,,,,,,,,,,,,,,,,0.98,1.74,
ATG,Seed Treatm Insecticides,,,,,,,,,,,,,,,,,,,,,,,0.91,1.38,
ATG,Plant Growth Regulators,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,
ATG,Rodenticides,,,,,,,,,,,,,,,,,,,,,0.13,0,0,0,
ARG,Chlorinated Hydrocarbons,,,,44,25,24,25,17,1192,,,,,,,,,,,,,,,,
ARG,Organo-Phosphates,,,,1793,2532,2955,5400,7066,4779,,,,,,,,,,,,,,,,5932.1
ARG,Carbamates Insecticides,,,,593,546,904,1338,1802,385,,,,,,,,,,,,,,,,131.3
ARG,Pyrethroids,,,,131,346,538,804,1269,447,,,,,,,,,,,,,,,,829
ARG,Botanic.Produc&Biologic.,,,,23,37,16,48,221,9,,,,,,,,,,,,,,,,23.6
ARG,Other Insecticides,,,,919,1397,1751,1841,2160,1152,,,,,,,,,,,,,,,,1003.3
ARG,Mineral Oils,,,,,,,,,764,,,,,,,,,,,,,,,,1490.3
ARG,Phenoxy Hormone Products,,,,515,885,453,1550,2880,1772,,,,,,,,,,,,,,,,4460.8
ARG,Triazines,,,,4274,3654,4290,9034,12471,3759,,,,,,,,,,,,,,,,777
ARG,Amides,,,,2388,3892,7159,9570,14770,7462,,,,,,,,,,,,,,,,6574.6
ARG,Carbamates Herbicides,,,,37,28,36,588,650,69,,,,,,,,,,,,,,,,283.8
ARG,Dinitroanilines,,,,195,373,1332,900,2950,1222,,,,,,,,,,,,,,,,18
ARG,Urea derivates,,,,45,57,64,112,745,822,,,,,,,,,,,,,,,,25
ARG,Sulfonyl Ureas,,,,225,436,777,126,225,49,,,,,,,,,,,,,,,,
ARG,Bipiridils,,,,1042,1247,912,1730,1930,440,,,,,,,,,,,,,,,,591.6
ARG,Uracil,,,,,,,,,19,,,,,,,,,,,,,,,,
ARG,Other Herbicides,,,,8812,8804,9840,14575,18550,31741,,,,,,,,,,,,,,,,181526.5
